es_id,cluster,row_id,report_group,study,outcome_subject,grade_band,g,v,se,n_t,n_c,n_clusters,icc_assumed,cluster_adjusted,pretest_adjusted,test_type,test_name,include,exclude_reason,extraction_method,source_stat,page_ref,extractor,confidence,notes
babinski_2018-03,babinski_2018,5,babinski_2018,Babinski et al. 2018,Reading,K-2,0.0,0.03943,0.1986,64,41,45,,True,True,standardized_independent,"Woodcock Muñoz Language Survey-Revised (WMLS-R), English – Letter-Word Identification (W score)",1,,"Authors' reported Hedge's g = 0.00 (Table 5). Because Mdiff=0.03 (g=0.00), the CI-scaling method is undefined; g_se falls back to the n-based large-sample formula Var(g)=J^2*[(nt+nc)/(nt*nc)+d^2/(2*(nt+nc))] with d=g/J=0, J=0.99270 -> g_var=0.03943, g_se=0.1986. This fallback IGNORES clustering (the model CI implies a tighter SE_Mdiff/SD); flagged.",0.03,p.134 Table 5 (Letter-Word Identification row),subagent,high,"Full sample. Null effect (Mdiff=0.03, g=0.00, ns). g_se uses n-based fallback because effect is ~0 (see g_method/problems). Letter-Word Identification (reading decoding) -> Reading per spec."
babinski_2018-04,babinski_2018,5,babinski_2018,Babinski et al. 2018,Other,K-2,0.04,0.02117,0.1455,64,41,45,,True,True,standardized_independent,"Woodcock Muñoz Language Survey-Revised (WMLS-R), English – Dictation (W score)",1,,Authors' reported Hedge's g (Table 5). g_se = g*SE_Mdiff/|Mdiff| = 0.04*2.656/0.73 = 0.1455 (SE_Mdiff=(5.93-(-4.48))/(2*1.96)); g_var=g_se^2.,0.73,p.134 Table 5 (Dictation row),subagent,high,Full sample. ns. Dictation (spelling/writing) -> Other per spec (writing/language/other).
babinski_2018-05,babinski_2018,5,babinski_2018,Babinski et al. 2018,Other,K-2,0.1,0.00807,0.0898,64,41,45,,True,True,standardized_independent,"Woodcock Muñoz Language Survey-Revised (WMLS-R), English – Understanding Directions (W score)",1,,Authors' reported Hedge's g (Table 5). g_se = g*SE_Mdiff/|Mdiff| = 0.10*1.536/1.71 = 0.0898 (SE_Mdiff=(4.72-(-1.3))/(2*1.96)); g_var=g_se^2.,1.71,p.134 Table 5 (Understanding Directions row),subagent,high,Full sample. ns. Understanding Directions (listening/oral-language comprehension) -> Other per spec.
babinski_2018-06,babinski_2018,5,babinski_2018,Babinski et al. 2018,Other,K-2,0.29,0.0216,0.147,64,41,45,,True,True,standardized_independent,"Woodcock Muñoz Language Survey-Revised (WMLS-R), English – Story Recall (W score)",1,,Authors' reported Hedge's g (Table 5). g_se = g*SE_Mdiff/|Mdiff| = 0.29*1.531/3.02 = 0.1470 (SE_Mdiff=(6.02-0.02)/(2*1.96)); g_var=g_se^2.,3.02,"p.134 Table 5 (Story Recall row); narrative p.132, 137",subagent,high,"Full sample. SIGNIFICANT: Mdiff=3.02, 95% CI [0.02, 6.02], p=.048, g=0.29. The study's strongest/headline beneficial student effect (oral language: listening, memory, expressive language). Story Recall (oral-language recall) -> Other per spec."
babinski_2018-07,babinski_2018,5,babinski_2018,Babinski et al. 2018,Reading,K-2,0.03,0.00646,0.0804,64,41,45,,True,True,standardized_independent,"Woodcock Muñoz Language Survey-Revised (WMLS-R), English – Passage Comprehension (W score)",1,,Authors' reported Hedge's g (Table 5). g_se = g*SE_Mdiff/|Mdiff| = 0.03*3.724/1.39 = 0.0804 (SE_Mdiff=(8.69-(-5.91))/(2*1.96)); g_var=g_se^2.,1.39,p.134 Table 5 (Passage Comprehension row),subagent,high,Full sample. ns. Passage Comprehension (reading comprehension) -> Reading per spec.
bierman_2008-01,bierman_2008,6,bierman_2008,Bierman et al. 2008,Reading,Pre-K,0.38917,0.011401,0.10678,178,178,44,,True,True,standardized_independent,"Blending subtest, Test of Preschool Early Literacy (TOPEL; formerly Pre-CTOPP) -- phonological processing",1,,"Reported HLM 'Intervention Effect' (approximate effect size) d=.39 (Table 3, p.23), standardized because all measures were rescaled to mean 0/SD 1 in the model (p.11-12); pretest-adjusted and cluster-accounted (children nested in classroom). Hedges g = J*d with df = n_t+n_c-2 = 354, J = 1 - 3/(4*354-1) = 0.997880, g = 0.997880*0.39 = 0.38917. Variance is a FALLBACK design-based estimate at the student level (no model SE reported): Var(d) = (n_t+n_c)/(n_t*n_c) + d^2/(2*(n_t+n_c)) = 356/31684 + 0.39^2/712 = 0.011425, Var(g)=J^2*Var(d)=0.011401, g_se=0.10678. NOT cluster-adjusted (see problems); central team should correct with n_clusters and an ICC (no ICC reported).",0.39,Table 3 (p.23 of PDF / journal p.1815); HLM/effect-size definition pp.11-12 (PDF) / pp.1809-1810,subagent,high,"Emergent-literacy (phonological awareness) -> Reading. One of the strongest, statistically significant effects (d=.39, p=.001). Means/SDs shown are raw post-test observed scores (control 13.04/4.30; intervention 14.71/4.33); they are NOT the standardizing SD of the effect (effect is from the SD=1 standardized HLM). TOPEL is a published/standardized instrument (alpha=.86)."
bierman_2008-02,bierman_2008,6,bierman_2008,Bierman et al. 2008,Reading,Pre-K,0.34926,0.01136,0.10658,178,178,44,,True,True,standardized_independent,"Elision subtest, Test of Preschool Early Literacy (TOPEL; formerly Pre-CTOPP) -- phonological processing",1,,"Reported HLM 'Intervention Effect' d=.35 (Table 3, p.23), standardized (model SD=1), pretest-adjusted, cluster-accounted. Hedges g = J*d, df=354, J=0.997880, g=0.34926. Fallback design-based variance (no model SE): Var(d)=356/31684 + 0.35^2/712 = 0.011385, Var(g)=J^2*Var(d)=0.011360, g_se=0.10658. NOT cluster-adjusted; correct centrally with n_clusters/ICC (no ICC reported).",0.35,Table 3 (p.23 of PDF / journal p.1815); pp.11-12 (PDF),subagent,high,"Emergent-literacy (phonological awareness) -> Reading. Statistically significant (d=.35, p=.001). Raw post-test means/SDs: control 9.61/3.58; intervention 11.19/4.02. TOPEL Elision subtest (alpha=.83)."
bierman_2008-03,bierman_2008,6,bierman_2008,Bierman et al. 2008,Reading,Pre-K,0.15966,0.011224,0.10594,178,178,44,,True,True,standardized_independent,"Print Knowledge / Print Awareness subtest, Test of Preschool Early Literacy (TOPEL)",1,,"Reported HLM 'Intervention Effect' d=.16 (Table 3, p.23), standardized (model SD=1), pretest-adjusted, cluster-accounted. Hedges g = J*d, df=354, J=0.997880, g=0.15966. Fallback design-based variance (no model SE): Var(d)=356/31684 + 0.16^2/712 = 0.011271, Var(g)=J^2*Var(d)=0.011224, g_se=0.10594. NOT cluster-adjusted; correct centrally with n_clusters/ICC (no ICC reported).",0.16,Table 3 (p.23 of PDF / journal p.1815); pp.11-12 (PDF),subagent,high,"Emergent-literacy (print knowledge) -> Reading. Marginal/not significant (d=.16, p=.10). Raw post-test means/SDs: control 16.49/12.59; intervention 18.84/12.84. TOPEL Print Knowledge subtest (alpha=.97)."
bierman_2008-04,bierman_2008,6,bierman_2008,Bierman et al. 2008,Other,Pre-K,0.14968,0.01122,0.10592,178,178,44,,True,True,standardized_independent,Expressive One-Word Picture Vocabulary Test (EOWPVT) -- expressive vocabulary,1,,"Reported HLM 'Intervention Effect' d=.15 (Table 3, p.23), standardized (model SD=1), pretest-adjusted, cluster-accounted. Hedges g = J*d, df=354, J=0.997880, g=0.14968. Fallback design-based variance (no model SE): Var(d)=356/31684 + 0.15^2/712 = 0.011267, Var(g)=J^2*Var(d)=0.011220, g_se=0.10592. NOT cluster-adjusted; correct centrally with n_clusters/ICC (no ICC reported).",0.15,Table 3 (p.23 of PDF / journal p.1815); pp.11-12 (PDF),subagent,high,"Oral-language (expressive vocabulary) -> Other per spec (language). Statistically significant (d=.15, p=.02). Raw post-test means/SDs: control 41.03/11.24; intervention 42.79/11.55. EOWPVT is a standardized published instrument."
bierman_2008-05,bierman_2008,6,bierman_2008,Bierman et al. 2008,Other,Pre-K,-0.06985,0.011195,0.10581,178,178,44,,True,True,standardized_independent,"Grammatical Understanding subtest, Test of Language Development (TOLD) -- syntax comprehension",1,,"Reported HLM 'Intervention Effect' d=-.07 (Table 3, p.23), standardized (model SD=1), pretest-adjusted, cluster-accounted. Hedges g = J*d, df=354, J=0.997880, g=-0.06985. Fallback design-based variance (no model SE): Var(d)=356/31684 + 0.07^2/712 = 0.011242, Var(g)=J^2*Var(d)=0.011195, g_se=0.10581. NOT cluster-adjusted; correct centrally with n_clusters/ICC (no ICC reported).",-0.07,Table 3 (p.23 of PDF / journal p.1815); pp.11-12 (PDF),subagent,high,"Oral-language (syntax comprehension) -> Other. No intervention effect (d=-.07, p=.56; negative/favoring control but n.s.). Raw post-test means/SDs: control 11.72/4.90; intervention 11.95/4.70. TOLD Grammatical Understanding subtest (alpha=.80)."
bierman_2008-06,bierman_2008,6,bierman_2008,Bierman et al. 2008,Other,Pre-K,-0.03992,0.011191,0.10579,178,178,44,,True,True,standardized_independent,"Sentence Imitation subtest, Test of Language Development (TOLD) -- syntax expression (log-transformed for analysis)",1,,"Reported HLM 'Intervention Effect' d=-.04 (Table 3, p.23), standardized (model SD=1), pretest-adjusted, cluster-accounted. Hedges g = J*d, df=354, J=0.997880, g=-0.03992. Fallback design-based variance (no model SE): Var(d)=356/31684 + 0.04^2/712 = 0.011238, Var(g)=J^2*Var(d)=0.011191, g_se=0.10579. NOT cluster-adjusted; correct centrally with n_clusters/ICC (no ICC reported).",-0.04,Table 3 (p.23 of PDF / journal p.1815); pp.11-12 (PDF); preliminary analyses (log-transform) p.11,subagent,high,"Oral-language (syntax expression) -> Other. No intervention effect (d=-.04, p=.73, n.s.). Sentence Imitation was log-transformed before analysis due to skew (p.11); raw post-test means/SDs shown are control 1.56/.80, intervention 1.57/.75. TOLD Sentence Imitation subtest (alpha=.90)."
bleses_2021-01,bleses_2021,7,bleses_2021,Bleses et al. 2021,Reading,Pre-K delivery (children 4-5 yrs); outcome measured in Grade 2 (3-6 yrs later),-0.06996,0.00384,0.06197,770,701,74,0.14,True,True,standardized_independent,Danish national reading test (Grade 2) - Language comprehension subscale,1,,"Outcome standardized to SD=1; Table 4 coefficient = d = -0.07, se(d)=0.062 from a pretest- and covariate-adjusted cross-classified mixed-effects model. df=n_t+n_c-2=1469, J=1-3/(4*df-1)=0.99949, g=J*d=-0.06996, g_se=J*se(d)=0.06197, g_var=g_se^2=0.003840.",-0.07,Table 4 (p.13); model/ICC in Methods (pp.9-10); Ns in Table 2/Table 3 (pp.11-12),subagent,medium,"Non-significant (p=0.283). n_clusters=74 = 38 SPELL + 36 BAU childcare centers (as randomized). icc=0.14 is the childcare-classroom ICC for language comprehension (also reported: 2nd-grade-classroom ICC 0.18, crossing 0.07, child-level 0.57-0.62). Preschool post-test (researcher-made) for this arm: language comprehension subtest g=-0.03 (means 20.3 vs 20.4)."
bleses_2021-02,bleses_2021,7,bleses_2021,Bleses et al. 2021,Reading,Pre-K delivery (children 4-5 yrs); outcome measured in Grade 2 (3-6 yrs later),-0.02998,0.004895,0.06996,770,701,74,0.16,True,True,standardized_independent,Danish national reading test (Grade 2) - Word decoding subscale,1,,"Outcome SD=1; Table 4 d=-0.03, se(d)=0.070. df=1469, J=0.99949, g=-0.02998, g_se=0.06996, g_var=0.004895.",-0.03,Table 4 (p.13); Methods pp.9-10; Ns Table 2/3,subagent,medium,"Non-significant (p=0.620). icc=0.16 = childcare-classroom ICC for decoding (2nd-grade-classroom ICC 0.13, child-level ICC 0.62)."
bleses_2021-03,bleses_2021,7,bleses_2021,Bleses et al. 2021,Reading,Pre-K delivery (children 4-5 yrs); outcome measured in Grade 2 (3-6 yrs later),-0.01999,0.004756,0.06896,770,701,74,0.14,True,True,standardized_independent,Danish national reading test (Grade 2) - Reading/Text comprehension subscale,1,,"Outcome SD=1; Table 4 d=-0.02 (labeled 'Text comprehension'), se(d)=0.069. df=1469, J=0.99949, g=-0.01999, g_se=0.06896, g_var=0.004756.",-0.02,Table 4 (p.13); Methods pp.9-10; Ns Table 2/3,subagent,medium,"Non-significant (p=0.740). Table 4 calls this 'Text comprehension'; Table 3 calls it 'Reading comprehension'. icc=0.14 = childcare-classroom ICC for reading comprehension (crossing ICC 0.11, child-level 0.57)."
bleses_2021-04,bleses_2021,7,bleses_2021,Bleses et al. 2021,Reading,Pre-K delivery (children 4-5 yrs); outcome measured in Grade 2 (3-6 yrs later),0.09995,0.004092,0.06397,692,701,70,0.14,True,True,standardized_independent,Danish national reading test (Grade 2) - Language comprehension subscale,1,,"Outcome SD=1; Table 4 d=0.10, se(d)=0.064. df=n_t+n_c-2=1391, J=0.99946, g=0.09995, g_se=0.06397, g_var=0.004092.",0.1,Table 4 (p.13); Methods pp.9-10; Ns Table 2/3,subagent,medium,Non-significant (p=0.120). n_clusters=70 = 34 SPELL+PD + 36 BAU centers. icc=0.14 childcare-classroom ICC (language comprehension).
bleses_2021-05,bleses_2021,7,bleses_2021,Bleses et al. 2021,Reading,Pre-K delivery (children 4-5 yrs); outcome measured in Grade 2 (3-6 yrs later),0.07996,0.005178,0.07196,692,701,70,0.16,True,True,standardized_independent,Danish national reading test (Grade 2) - Word decoding subscale,1,,"Outcome SD=1; Table 4 d=0.08, se(d)=0.072. df=1391, J=0.99946, g=0.07996, g_se=0.07196, g_var=0.005178.",0.08,Table 4 (p.13); Methods pp.9-10; Ns Table 2/3,subagent,medium,Non-significant (p=0.248). icc=0.16 childcare-classroom ICC (decoding).
bleses_2021-06,bleses_2021,7,bleses_2021,Bleses et al. 2021,Reading,Pre-K delivery (children 4-5 yrs); outcome measured in Grade 2 (3-6 yrs later),0.09995,0.005036,0.07096,692,701,70,0.14,True,True,standardized_independent,Danish national reading test (Grade 2) - Reading/Text comprehension subscale,1,,"Outcome SD=1; Table 4 d=0.10 ('Text comprehension'), se(d)=0.071. df=1391, J=0.99946, g=0.09995, g_se=0.07096, g_var=0.005036.",0.1,Table 4 (p.13); Methods pp.9-10; Ns Table 2/3,subagent,medium,Non-significant (p=0.145). icc=0.14 childcare-classroom ICC (reading comprehension).
bleses_2021-07,bleses_2021,7,bleses_2021,Bleses et al. 2021,Reading,Pre-K delivery (children 4-5 yrs); outcome measured in Grade 2 (3-6 yrs later),0.08995,0.004484,0.06696,537,701,70,0.14,True,True,standardized_independent,Danish national reading test (Grade 2) - Language comprehension subscale,1,,"Outcome SD=1; Table 4 d=0.09, se(d)=0.067. df=n_t+n_c-2=1236, J=0.99939, g=0.08995, g_se=0.06696, g_var=0.004484.",0.09,Table 4 (p.13); Methods pp.9-10; Ns Table 2/3,subagent,medium,"Non-significant (p=0.179). n_clusters=70 = 34 SPELL+HOME + 36 BAU centers. Included for completeness; the enhancement is a home/parent program, not teacher PD."
bleses_2021-08,bleses_2021,7,bleses_2021,Bleses et al. 2021,Reading,Pre-K delivery (children 4-5 yrs); outcome measured in Grade 2 (3-6 yrs later),0.04997,0.005469,0.07396,537,701,70,0.16,True,True,standardized_independent,Danish national reading test (Grade 2) - Word decoding subscale,1,,"Outcome SD=1; Table 4 d=0.05, se(d)=0.074. df=1236, J=0.99939, g=0.04997, g_se=0.07396, g_var=0.005469.",0.05,Table 4 (p.13); Methods pp.9-10; Ns Table 2/3,subagent,medium,Non-significant (p=0.503). icc=0.16 childcare-classroom ICC (decoding).
bleses_2021-09,bleses_2021,7,bleses_2021,Bleses et al. 2021,Reading,Pre-K delivery (children 4-5 yrs); outcome measured in Grade 2 (3-6 yrs later),-0.00999,0.005469,0.07396,537,701,70,0.14,True,True,standardized_independent,Danish national reading test (Grade 2) - Reading/Text comprehension subscale,1,,"Outcome SD=1; Table 4 d=-0.01 ('Text comprehension'), se(d)=0.074. df=1236, J=0.99939, g=-0.00999, g_se=0.07396, g_var=0.005469.",-0.01,Table 4 (p.13); Methods pp.9-10; Ns Table 2/3,subagent,medium,Non-significant (p=0.899). icc=0.14 childcare-classroom ICC (reading comprehension).
borman_2007-01,borman_2007,8,borman_2007,Borman et al. 2007,Reading,K-2,0.3599,0.01209,0.11,1085,1023,35,,True,True,standardized_independent,Woodcock Reading Mastery Tests - Revised (WMRT) Word Attack subtest (phonemic decoding of nonsense words; nationally normed),1,,"Impact is the standardized HLM fixed-effect coefficient for SFA assignment from Table 4 (combined longitudinal + in-mover 'school-wide' sample); outcomes were standardized so the coefficient is itself d = 0.36 with SE = 0.11 (matches Table 5 School-wide Year 3 = 0.36). Hedges' g = J*d, J = 1 - 3/(4*df-1) with df = n_t+n_c-2 = 2106, J = 0.99964, g = 0.3599. g_se = J*impact_se = 0.99964*0.11 = 0.1100; g_var = g_se^2 = 0.01209. Standardized via the pooled within-sample SD of the outcome (the model's standardization), pretest-adjusted by school-mean PPVT covariate, cluster-adjusted via school-level HLM.",0.36,Table 4 (p. 50 of PDF / journal p. 50); Table 5 School-wide Year 3 (p. 51); results text p. 28-29; sample sizes p. 23-24,subagent,high,"Full analytic ('school-wide') sample: 1,085 treatment + 1,023 control = 2,108 students in 35 schools (18 SFA, 17 control). Significant at p<.01 (t=3.27). Largest of the three literacy effects; Word Attack measures phonemic awareness/decoding, the domain SFA's kindergarten phonics instruction targets first. d=0.36 corresponds to Cohen's U3 of ~64th percentile (text p. 33). WMRT is nationally normed, independent of the developer. One of three co-equal primary literacy outcomes (no composite reported)."
